Visit ID,Dither Index,Aperture,Exp Time,Target,Orient Used,RA Center Rot,Dec Center Rot,s_region
01180027001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.148950,-27.811380,POLYGON ICRS 53.114636165967575 -27.84225873580846 53.11456289427058 -27.781703828139428 53.18276897643182 -27.781201131200987 53.18385017825783 -27.841749704714175 ,
01180027001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.148947,-27.811086,POLYGON ICRS 53.114633456473854 -27.84196501126189 53.11456018603875 -27.781410103468204 53.18276608407723 -27.78090740786041 53.18384728155846 -27.84145598144818 ,
01180027001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.148948,-27.811233,POLYGON ICRS 53.114634811146594 -27.84211186702146 53.11456154008043 -27.781556959290015 53.182767530175916 -27.78105426301687 53.183848729829585 -27.84160283656746 ,
01180027001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.148950,-27.811380,POLYGON ICRS 53.114636165967575 -27.84225873580846 53.11456289427058 -27.781703828139428 53.18276897643182 -27.781201131200987 53.18385017825783 -27.841749704714175 ,
01180027001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.148947,-27.811086,POLYGON ICRS 53.114633456473854 -27.84196501126189 53.11456018603875 -27.781410103468204 53.18276608407723 -27.78090740786041 53.18384728155846 -27.84145598144818 ,
01180027001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.147698,-27.812336,POLYGON ICRS 53.11338410543764 -27.843214336281903 53.113311531718054 -27.78265942877772 53.18151821868078 -27.78215734551071 53.18259873225179 -27.842705928398402 ,
01180027001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.147700,-27.812483,POLYGON ICRS 53.113385458575806 -27.84336120507828 53.11331288423218 -27.78280629763782 53.18151966326393 -27.782304213707505 53.182600179000545 -27.842852796556542 ,
01180027001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.147697,-27.812189,POLYGON ICRS 53.11338275244753 -27.843067480513014 53.11331017935225 -27.782512572945222 53.18151677425467 -27.782010490341463 53.182597285659945 -27.842559073267694 ,
01180027001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.147698,-27.812336,POLYGON ICRS 53.11338410543764 -27.843214336281903 53.113311531718054 -27.78265942877772 53.18151821868078 -27.78215734551071 53.18259873225179 -27.842705928398402 ,
01180027001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.147700,-27.812483,POLYGON ICRS 53.113385458575806 -27.84336120507828 53.11331288423218 -27.78280629763782 53.18151966326393 -27.782304213707505 53.182600179000545 -27.842852796556542 ,
01180027001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.147697,-27.812189,POLYGON ICRS 53.11338275244753 -27.843067480513014 53.11331017935225 -27.782512572945222 53.18151677425467 -27.782010490341463 53.182597285659945 -27.842559073267694 ,
01180027001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.147698,-27.812336,POLYGON ICRS 53.11338410543764 -27.843214336281903 53.113311531718054 -27.78265942877772 53.18151821868078 -27.78215734551071 53.18259873225179 -27.842705928398402 ,
01180027001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.147700,-27.812483,POLYGON ICRS 53.113385458575806 -27.84336120507828 53.11331288423218 -27.78280629763782 53.18151966326393 -27.782304213707505 53.182600179000545 -27.842852796556542 ,
01180027001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.147697,-27.812189,POLYGON ICRS 53.11338275244753 -27.843067480513014 53.11331017935225 -27.782512572945222 53.18151677425467 -27.782010490341463 53.182597285659945 -27.842559073267694 ,
01180027001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.147698,-27.812336,POLYGON ICRS 53.11338410543764 -27.843214336281903 53.113311531718054 -27.78265942877772 53.18151821868078 -27.78215734551071 53.18259873225179 -27.842705928398402 ,
01180027001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.147700,-27.812483,POLYGON ICRS 53.113385458575806 -27.84336120507828 53.11331288423218 -27.78280629763782 53.18151966326393 -27.782304213707505 53.182600179000545 -27.842852796556542 ,
01180027001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.147697,-27.812189,POLYGON ICRS 53.11338275244753 -27.843067480513014 53.11331017935225 -27.782512572945222 53.18151677425467 -27.782010490341463 53.182597285659945 -27.842559073267694 ,
01180028001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.163583,-27.822558,POLYGON ICRS 53.129270040984814 -27.85344018721014 53.12918932453072 -27.79288528731331 53.197402356647075 -27.79237602922626 53.19849112385291 -27.85292449809208 ,
01180028001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.163585,-27.822705,POLYGON ICRS 53.12927141399562 -27.853587055864693 53.12919069689258 -27.79303215603096 53.197403821127104 -27.792522897269976 53.198492590524275 -27.853071366097595 ,
01180028001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.163582,-27.822411,POLYGON ICRS 53.129268668124006 -27.85329333158302 53.12918795231914 -27.79273843162315 53.19740089232606 -27.79222917420998 53.19848965734044 -27.85277764311394 ,
01180028001,1,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.163583,-27.822558,POLYGON ICRS 53.129270040984814 -27.85344018721014 53.12918932453072 -27.79288528731331 53.197402356647075 -27.79237602922626 53.19849112385291 -27.85292449809208 ,
01180028001,2,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.163585,-27.822705,POLYGON ICRS 53.12927141399562 -27.853587055864693 53.12919069689258 -27.79303215603096 53.197403821127104 -27.792522897269976 53.198492590524275 -27.853071366097595 ,
01180028001,3,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.163582,-27.822411,POLYGON ICRS 53.129268668124006 -27.85329333158302 53.12918795231914 -27.79273843162315 53.19740089232606 -27.79222917420998 53.19848965734044 -27.85277764311394 ,
01180028001,1,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.163583,-27.822558,POLYGON ICRS 53.129270040984814 -27.85344018721014 53.12918932453072 -27.79288528731331 53.197402356647075 -27.79237602922626 53.19849112385291 -27.85292449809208 ,
01180028001,2,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.163585,-27.822705,POLYGON ICRS 53.12927141399562 -27.853587055864693 53.12919069689258 -27.79303215603096 53.197403821127104 -27.792522897269976 53.198492590524275 -27.853071366097595 ,
01180028001,3,NRS_FULL_MSA,2844.834,TINYCAT18,41.0,53.163582,-27.822411,POLYGON ICRS 53.129268668124006 -27.85329333158302 53.12918795231914 -27.79273843162315 53.19740089232606 -27.79222917420998 53.19848965734044 -27.85277764311394 ,
01180028001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.163583,-27.822558,POLYGON ICRS 53.129270040984814 -27.85344018721014 53.12918932453072 -27.79288528731331 53.197402356647075 -27.79237602922626 53.19849112385291 -27.85292449809208 ,
01180028001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.163585,-27.822705,POLYGON ICRS 53.12927141399562 -27.853587055864693 53.12919069689258 -27.79303215603096 53.197403821127104 -27.792522897269976 53.198492590524275 -27.853071366097595 ,
01180028001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.163582,-27.822411,POLYGON ICRS 53.129268668124006 -27.85329333158302 53.12918795231914 -27.79273843162315 53.19740089232606 -27.79222917420998 53.19848965734044 -27.85277764311394 ,
01180028001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT18,41.0,53.162375,-27.823633,POLYGON ICRS 53.12806143952688 -27.85451488931767 53.12798139720995 -27.793959989588245 53.19619510904812 -27.793451324080483 53.1972832131072 -27.853999802026635 ,
