    0.09       0.0000      22.6776      20.3597      30.5116      30.5116       9.8388       9.8388
    0.09       0.0000      22.6706      20.3395      30.5047      30.5047       9.8399       9.8399
    0.10       0.0000      22.6636      20.3195      30.4977      30.4977       9.8411       9.8411
    0.10       0.0000      22.6566      20.2997      30.4907      30.4907       9.8422       9.8422
    0.10       0.0000      22.6496      20.2801      30.4837      30.4837       9.8433       9.8433
    0.10       0.0000      22.6427      20.2607      30.4768      30.4768       9.8445       9.8445
    0.10       0.0000      22.6357      20.2415      30.4698      30.4698       9.8456       9.8456
    0.10       0.0000      22.6287      20.2224      30.4628      30.4628       9.8468       9.8468
    0.10       0.0000      22.6218      20.2036      30.4558      30.4558       9.8479       9.8479
    0.10       0.0000      22.6148      20.1849      30.4489      30.4489       9.8491       9.8491
    0.10       0.0000      22.6078      20.1664      30.4419      30.4419       9.8502       9.8502
    0.10       0.0000      22.6009      20.1480      30.4350      30.4350       9.8514       9.8514
    0.10       0.0000      22.5939      20.1299      30.4280      30.4280       9.8526       9.8526
    0.10       0.0000      22.5870      20.1119      30.4210      30.4210       9.8537       9.8537
    0.10       0.0000      22.5800      20.0940      30.4141      30.4141       9.8549       9.8549
    0.10       0.0000      22.5731      20.0763      30.4071      30.4071       9.8561       9.8561
    0.10       0.0000      22.5661      20.0588      30.4002      30.4002       9.8572       9.8572
    0.10       0.0000      22.5592      20.0414      30.3932      30.3932       9.8584       9.8584
    0.10       0.0000      22.5522      20.0242      30.3863      30.3863       9.8596       9.8596
    0.10       0.0000      22.5453      20.0071      30.3794      30.3794       9.8608       9.8608
    0.10       0.0000      22.5383      19.9902      30.3724      30.3724       9.8620       9.8620
    0.10       0.0000      22.5314      19.9734      30.3655      30.3655       9.8632       9.8632
    0.10       0.0000      22.5245      19.9568      30.3585      30.3585       9.8643       9.8643
    0.10       0.0000      22.5175      19.9402      30.3516      30.3516       9.8655       9.8655
    0.10       0.0000      22.5106      19.9239      30.3447      30.3447       9.8667       9.8667
    0.10       0.0000      22.5037      19.9076      30.3377      30.3377       9.8679       9.8679
    0.10       0.0000      22.4967      19.8915      30.3308      30.3308       9.8692       9.8692
    0.10       0.0000      22.4898      19.8756      30.3239      30.3239       9.8704       9.8704
    0.10       0.0000      22.4829      19.8597      30.3170      30.3170       9.8716       9.8716
    0.10       0.0000      22.4760      19.8440      30.3101      30.3101       9.8728       9.8728
    0.11       0.0000      22.4690      19.8284      30.3031      30.3031       9.8740       9.8740
    0.11       0.0000      22.4621      19.8129      30.2962      30.2962       9.8752       9.8752
    0.11       0.0000      22.4552      19.7976      30.2893      30.2893       9.8765       9.8765
    0.11       0.0000      22.4483      19.7824      30.2824      30.2824       9.8777       9.8777
    0.11       0.0000      22.4414      19.7673      30.2755      30.2755       9.8789       9.8789
    0.11       0.0000      22.4345      19.7523      30.2686      30.2686       9.8802       9.8802
    0.11       0.0000      22.4276      19.7374      30.2617      30.2617       9.8814       9.8814
